,mean_abs_shap
portfolio_concentration_pct,0.20933333333333337
customer_avg_txn_amount,0.048
time_of_day_hour,0.019999999999999997
market_volatility_index,0.016000000000000014
amount,0.002666666666666684
currency,0.0
channel,0.0
device_type,0.0
asset_type,0.0
amount_to_avg_ratio,0.0
sector,0.0
pep_flag,0.0
velocity_ratio,0.0
account_maturity,0.0
is_cross_border,0.0
has_failed_logins,0.0
transaction_type,0.0
ip_country_match,0.0
is_sanctioned_country,0.0
is_high_risk_country,0.0
account_age_days,0.0
is_holiday,0.0
is_weekend,0.0
is_new_payee,0.0
receiver_account_age_days,0.0
days_since_last_txn,0.0
num_txns_last_24h,0.0
num_txns_last_1h,0.0
amount_deviation_from_avg,0.0
customer_txn_count_30d,0.0
failed_login_attempts_24h,0.0
